location_id,index,KLADR,FIAS,OKATO,OKTMO,IFNS,timezone,latitude,longitude,population
1295,347900,6100001100000,d72c95ed-9fdd-4f27-b94f-898fc3f1177d,60437000000,60737000001,6154,UTC+3,47.2094907,38.935154,257692
1297,346780,6100001300000,a216cad5-7027-40b8-b1a1-d64abefbd5cd,60404000000,60704000001,6188,UTC+3,47.1120631,39.4232597,82882
1299,346720,6100300100000,9bebf626-3ee7-4e1b-9e91-569c9d402152,60202501000,60602101001,6181,UTC+3,47.2676075,39.8755485,41984
1301,347040,6100500100000,2d38257c-c09e-405d-af01-93fc9cd3f6cd,60206501000,60606101001,6192,UTC+3,48.176948,40.8033169,43688
1311,347740,6101300100000,c07d0c34-eadb-4102-bcef-7dd1a3ba27c3,60218501000,60618101001,6188,UTC+3,46.8494991,40.312765,26850
1317,346350,6101900100000,687f3695-dcc4-4591-b8b9-a316f46a459a,60226501000,60626101001,6191,UTC+3,47.8830826,40.0781385,40866
1319,347250,6101800100000,89de999c-b58a-4d76-94e5-dc6152813b10,60225501000,60625101001,6174,UTC+3,47.5773456,41.0967362,17926
1324,346130,6102300100000,ac927a82-e1dc-4485-b0e0-59f019b8f295,60232501000,60632101001,6173,UTC+3,48.925821,40.3983302,36493
1327,347210,6102500100000,933cca52-9ab1-490e-b674-ec3789233e28,60234501000,60634101001,6192,UTC+3,48.3511724,41.8308006,27644
1335,347540,6103200100000,efa48912-9bcc-42ac-959d-289e9a75b046,60245501000,60645101001,6186,UTC+3,46.7038968,41.7274533,20267
1339,347630,6103500100000,971ba684-f38b-4229-ba72-0d6fe8e179c4,60250501000,60650101001,6186,UTC+3,46.4751689,41.5412229,61312
1341,346630,6103600100000,29b72146-2e5d-4841-a1c3-ce2c3f47aa35,60251501000,60651101001,6183,UTC+3,47.5177981,40.811585,23884
1349,347320,6104200100000,27095e32-973c-4d07-929a-c46f63076ea8,60257501000,60657101001,6174,UTC+3,47.6477668,42.093022,15029
1351,414000,3000000100000,a101dd8b-3aee-4bda-9c61-9df106f145ff,12401000000,12701000,3000,UTC+4,46.3655808,48.0559979,520662
1353,416540,3000000200000,54ecd5a8-83d9-4a85-ae2c-6fe6976ab716,12519000000,12719000,3022,UTC+4,48.5865618,45.7367908,29357
1355,416500,3000200100000,8d7acd62-cef4-4d5c-8057-644ee454ce6c,12205501000,12605101,3022,UTC+4,48.2753078,46.1906741,41898
1360,416340,3000600100000,bc643e13-dcc5-4fa4-8cb1-94f71c5c18f4,12225501000,12625101,3023,UTC+4,46.1105429,48.0732724,16291
1365,416111,3000900100000,46ce55dd-e3e2-4c31-ab3c-273423c2f782,12240501000,12640101,3023,UTC+4,46.6916597,47.8501624,11386
1368,416010,3001100100000,08373220-e187-4094-82de-b8e0864c5f38,12245501000,12645101,3000,UTC+4,47.4089187,47.2524467,18209
1371,385200,0100000200000,ccdfd496-8108-4655-aadd-bd228747306d,79403000000,79703000001,0107,UTC+3,44.8783715,39.190172,12689
1379,358000,0800000100000,d5bd18b9-22c1-48e2-9b4a-3b7a4c89a3cb,85401000000,85701000,0816,UTC+3,46.3082947,44.2701417,103728
1382,359050,0800200100000,ae5ed160-39e8-46b7-ac27-d858e7032877,85205501000,85605101001,0801,UTC+3,46.0875351,41.9354039,9565
1385,359220,0800600100000,808f71cf-e9f9-4fe8-ab93-2b6326ebbd8e,85215501000,85615101,0813,UTC+3,45.3929617,47.3432943,14323
1395,367000,0500000100000,727cdf1e-1b70-4e07-8995-9bf7ca9abefb,82401000000,82701000,0500,UTC+3,42.9848572,47.5046303,577990
1397,368000,0500000600000,1bde5cf4-7943-4b17-9718-2c1d96742be5,82410000000,82710000,0500,UTC+3,42.058935,48.2908653,119961
1398,368120,0500000700000,efc8a6e2-ffab-4d69-a35b-019bfe89745e,82425000000,82725000,0546,UTC+3,43.2039094,46.8729311,36187
1399,368670,0500000200000,8b4a997b-1e70-402a-a56a-e93c81d0ff20,82408000000,82708000001,0550,UTC+3,42.1151021,48.1939983,30671
1400,368500,0500000300000,bf14786f-6c0e-4369-8907-57f9d3fd93ac,82415000000,82715000,0548,UTC+3,42.565098,47.871002,56301
1401,368890,0500000500000,733221a2-f789-4dda-a3f4-e41c88b6cfbd,82438000000,82738000,0531,UTC+3,44.6600972,45.6499304,10048
1402,368830,0500000800000,e18e67f7-e62a-4abe-853c-ffb8e5ab57e1,82430000000,82730000,0547,UTC+3,43.8483915,46.7232828,49169
1403,368300,0500000400000,a8695cce-c623-4451-bb47-2d69ab22092a,82420000000,82720000,0554,UTC+3,42.8916599,47.6366674,103914
1411,368220,0500001000000,fab58303-fb09-422e-aeb7-6fdb5dfe7941,82405000000,82705000,0500,UTC+3,42.8213799,47.1164452,65735
1417,368000,0500000900000,b10ca6a7-e9c0-4382-b939-4787aaf43a58,82435000000,82735000001,0544,UTC+3,43.2505191,46.5852276,133929
1447,360000,0700000100000,913a82e3-b671-43d5-97b4-8a08b8ee2d28,83401000000,83701000,0700,UTC+3,43.4846312,43.6070316,240095
